target_id	length	eff_length	est_counts	tpm
U00096.3|b0193|AAC73304.2|CDS|yaeF	825	646	14	0.958777
U00096.3|b0194|AAC73305.1|CDS|proS	1719	1540	1672	48.0328
U00096.3|b0195|AAC73306.1|CDS|tsaA	708	529	100	8.36308
U00096.3|b0196|AAC73307.1|CDS|rcsF	405	226	91	17.8137
U00096.3|b0197|AAC73308.1|CDS|metQ	816	637	264	18.3352
U00096.3|b0198|AAC73309.1|CDS|metI	654	475	83	7.73048
U00096.3|b0199|AAC73310.1|CDS|metN	1032	853	210	10.8916
U00096.3|b0200|AAC73311.1|CDS|gmhB	576	397	94	10.4751
U00096.3|b0201|NA|rRNA|rrsH	1542	1363	2.28142e+06	74051
U00096.3|b0202|NA|tRNA|ileV	77	4.17138	0	0
U00096.3|b0203|NA|tRNA|alaV	76	4.14046	0	0
U00096.3|b0204|NA|rRNA|rrlH	2904	2725	3.2861e+06	53350.3
U00096.3|b0205|NA|rRNA|rrfH	120	6.21	0	0
U00096.3|b0206|NA|tRNA|aspU	77	4.17138	0	0
U00096.3|b0207|AAC73312.1|CDS|dkgB	804	625	34	2.40669
U00096.3|b0208|AAC73313.1|CDS|yafC	915	736	32	1.92351
U00096.3|b0209|AAC73314.1|CDS|yafD	801	622	59	4.19647
U00096.3|b0210|AAC73315.1|CDS|yafE	624	445	19	1.88893
U00096.3|b0211|AAC73316.1|CDS|mltD	1359	1180	1089	40.8289
U00096.3|b0212|AAC73317.1|CDS|gloB	756	577	53	4.0637
U00096.3|b0213|AAC73318.2|CDS|yafS	723	544	34	2.76504
U00096.3|b0214|AAC73319.1|CDS|rnhA	468	289	43	6.58253
U00096.3|b0215|AAC73320.1|CDS|dnaQ	732	553	110	8.80014
U00096.3|b0216|NA|tRNA|aspV	77	4.17138	0	0
U00096.3|b0217|AAC73321.1|CDS|yafT	786	607	22	1.60345
U00096.3|b4586|ABP93434.1|CDS|ykfM	480	301	4	0.587916
U00096.3|b0218|NA|CDS|yafU	357	178	3	0.74563
U00096.3|b4503|NA|CDS|yafF	273	94.0001	4	1.88258
U00096.3|b0219|AAC73323.1|CDS|yafV	771	592	20	1.49462
U00096.3|b0220|AAC73324.1|CDS|ivy	474	295	66	9.89792
U00096.3|b0221|AAC73325.2|CDS|fadE	2445	2266	29	0.566187
U00096.3|b0222|AAC73326.1|CDS|gmhA	579	400	197	21.7886
U00096.3|b0223|AAC73327.1|CDS|yafJ	768	589	80	6.00893
U00096.3|b0224|AAC73328.1|CDS|yafK	741	562	101	7.95073
U00096.3|b0225|AAC73329.1|CDS|yafQ	279	100	15	6.6361
U00096.3|b0226|AAC73330.1|CDS|dinJ	261	82.002	37	19.9618
U00096.3|b0227|AAC73331.1|CDS|yafL	750	571	3	0.232438
U00096.3|b0228|AAC73332.1|CDS|rayT	498	319	4	0.554742
U00096.3|b0229|NA|CDS|lfhA	1713	1534	8	0.230721
U00096.3|b0230|NA|CDS|lafU	756	577	1	0.0766737
U00096.3|b0231|AAC73335.1|CDS|dinB	1056	877	47	2.37094
U00096.3|b0232|AAC73336.1|CDS|yafN	294	115	9	3.46232
U00096.3|b0233|AAC73337.1|CDS|yafO	399	220	10	2.01094
U00096.3|b0234|AAC73338.1|CDS|yafP	453	274	11	1.77609
U00096.3|b0235|NA|CDS|ykfJ	207	31.3862	0	0
